date,tipo_de_cambio
2019-01-02,19.5878
2019-01-03,19.6073
2019-01-04,19.4902
2019-01-07,19.3208
2019-01-08,19.3479
2019-01-09,19.2456
2019-01-10,19.1714
2019-01-11,19.1236
2019-01-14,19.0064
2019-01-15,19.0457
2019-01-16,18.9908
2019-01-17,19.0630
2019-01-18,19.0844
2019-01-21,19.1902
2019-01-22,19.1297
2019-01-23,19.0771
2019-01-24,18.9859
2019-01-25,18.9280
2019-01-28,19.0381
2019-01-29,18.9972
2019-01-30,19.1623
2019-01-31,19.0388
2019-02-01,19.1098
2019-02-05,19.0824
2019-02-06,19.1058
2019-02-07,19.0800
2019-02-08,19.0893
2019-02-11,19.2524
2019-02-12,19.2592
2019-02-13,19.4084
2019-02-14,19.3569
2019-02-15,19.3625
2019-02-18,19.2578
2019-02-19,19.1778
2019-02-20,19.1835
2019-02-21,19.2652
2019-02-22,19.1394
2019-02-25,19.1185
2019-02-26,19.1630
2019-02-27,19.2201
2019-02-28,19.2607
2019-03-01,19.2978
2019-03-04,19.3039
2019-03-05,19.2597
2019-03-06,19.3708
2019-03-07,19.5225
2019-03-08,19.4902
2019-03-11,19.4243
2019-03-12,19.3049
2019-03-13,19.3320
2019-03-14,19.3233
2019-03-15,19.2176
2019-03-19,19.0004
2019-03-20,18.9098
2019-03-21,18.8694
2019-03-22,19.1369
2019-03-25,19.0151
2019-03-26,19.0989
2019-03-27,19.3201
2019-03-28,19.3793
2019-03-29,19.3779
2019-04-01,19.2169
2019-04-02,19.2279
2019-04-03,19.1805
2019-04-04,19.1728
2019-04-05,19.0805
2019-04-08,18.9701
2019-04-09,18.9229
2019-04-10,18.8360
2019-04-11,18.8432
2019-04-12,18.7719
2019-04-15,18.8489
2019-04-16,18.9516
2019-04-17,18.8480
2019-04-22,18.8359
2019-04-23,18.9578
2019-04-24,19.0046
2019-04-25,19.0942
2019-04-26,18.9414
2019-04-29,19.0120
2019-04-30,19.0099
2019-05-02,19.1014
2019-05-03,19.0012
2019-05-06,18.9781
2019-05-07,19.0499
2019-05-08,19.0837
2019-05-09,19.2623
2019-05-10,19.1374
2019-05-13,19.1928
2019-05-14,19.1427
2019-05-15,19.1236
2019-05-16,19.0710
2019-05-17,19.1454
2019-05-20,19.0908
2019-05-21,19.0309
2019-05-22,18.9755
2019-05-23,19.0122
2019-05-24,19.0658
2019-05-27,19.0521
2019-05-28,19.1652
2019-05-29,19.2395
2019-05-30,19.0683
2019-05-31,19.6426
2019-06-03,19.7609
2019-06-04,19.6007
2019-06-05,19.5418
2019-06-06,19.7084
2019-06-07,19.6528
2019-06-10,19.2040
2019-06-11,19.1222
2019-06-12,19.1383
2019-06-13,19.1645
2019-06-14,19.1487
2019-06-17,19.1924
2019-06-18,19.1011
2019-06-19,19.1753
2019-06-20,18.9804
2019-06-21,19.0661
2019-06-24,19.1833
2019-06-25,19.2271
2019-06-26,19.1442
2019-06-27,19.1685
2019-06-28,19.2087
2019-07-01,19.0760
2019-07-02,19.0694
